  edge_min  pair_min  balls  edges  path
     9.960     9.960   1860   3600  output/wythoff_sweep\bitruncated_120-cell\H4_0110_00_04cd47c59a.vZome
     9.960     9.960   1860   3600  output/wythoff_sweep\bitruncated_120-cell\H4_0110_01_d5e0a9df5d.vZome
     9.960     9.960   1860   3600  output/wythoff_sweep\bitruncated_120-cell\H4_0110_02_6f289fe95c.vZome
     9.960     9.960   1860   3600  output/wythoff_sweep\bitruncated_120-cell\H4_0110_03_5f1d3ef650.vZome
    10.705    10.705     30     60  output/wythoff_sweep\bitruncated_5-cell\A4_0110_00_467bb01461.vZome
    14.531     9.443     30     60  output/wythoff_sweep\bitruncated_5-cell\A4_0110_01_190a7b1c71.vZome
    14.531    14.531     30     60  output/wythoff_sweep\bitruncated_5-cell\A4_0110_02_9e2d21191f.vZome
    13.232    13.232     18     30  output/wythoff_sweep\bitruncated_5-cell\A4_0110_03_be9338e636.vZome
    10.472    10.472     60    108  output/wythoff_sweep\bitruncated_tesseract\B4_0110_00_aceab99c00.vZome
     9.069     9.069     52     92  output/wythoff_sweep\bitruncated_tesseract\B4_0110_01_40be7cc1d7.vZome
    10.472    10.472     96    192  output/wythoff_sweep\bitruncated_tesseract\B4_0110_02_3c7ea12f56.vZome
    16.115     9.960   1860   5340  output/wythoff_sweep\cantellated_120-cell\H4_1010_00_11927f5a0f.vZome
    16.115     9.960   1860   5340  output/wythoff_sweep\cantellated_120-cell\H4_1010_01_51ac222d7b.vZome
    16.115     9.960   1860   5340  output/wythoff_sweep\cantellated_120-cell\H4_1010_02_04c056fa6f.vZome
    16.115     9.960   1860   5340  output/wythoff_sweep\cantellated_120-cell\H4_1010_03_feebd08dde.vZome
    16.115     9.960   1860   5340  output/wythoff_sweep\cantellated_120-cell\H4_1010_04_a87be0db65.vZome
    10.472    10.472     60    156  output/wythoff_sweep\cantellated_16-cell\B4_0101_00_5452b20702.vZome
     9.069     9.069     52    132  output/wythoff_sweep\cantellated_16-cell\B4_0101_01_cca712ec6e.vZome
    10.705    10.705     30     90  output/wythoff_sweep\cantellated_5-cell\A4_1010_00_e1d5c7a081.vZome
    14.531    13.232     30     90  output/wythoff_sweep\cantellated_5-cell\A4_1010_01_a6537a898e.vZome
    14.531    13.232     30     90  output/wythoff_sweep\cantellated_5-cell\A4_1010_02_1c346b0e6a.vZome
